frame, ROI found, ROI location, ROI size 
250,1,514_213 ,214_214 
251,1,516_212 ,215_215 
252,1,514_210 ,219_219 
253,1,518_211 ,216_216 
254,1,520_213 ,215_215 
255,1,524_212 ,214_214 
256,1,526_212 ,219_219 
257,1,530_213 ,217_217 
258,1,540_215 ,212_212 
259,1,550_215 ,213_213 
260,1,554_213 ,218_218 
261,1,559_210 ,221_221 
262,1,565_208 ,221_221 
263,1,575_209 ,218_218 
264,1,580_207 ,222_222 
265,1,590_208 ,221_221 
266,1,588_204 ,227_227 
267,1,579_194 ,250_250 
268,1,578_195 ,259_259 
269,1,590_195 ,257_257 
270,1,591_193 ,265_265 
271,1,592_196 ,261_261 
272,1,603_197 ,254_254 
273,1,595_186 ,273_273 
274,1,601_196 ,261_261 
275,1,609_198 ,259_259 
276,1,611_200 ,254_254 
277,1,613_198 ,258_258 
278,1,618_197 ,262_262 
279,1,622_200 ,242_242 
280,1,620_212 ,217_217 
281,1,620_193 ,261_261 
282,1,629_201 ,246_246 
283,1,635_212 ,231_231 
284,1,634_204 ,238_238 
285,1,633_203 ,242_242 
286,1,616_189 ,265_265 
287,1,635_207 ,237_237 
288,1,618_192 ,266_266 
289,1,620_197 ,262_262 
290,1,629_200 ,251_251 
291,1,627_200 ,248_248 
292,1,629_200 ,260_260 
293,1,627_201 ,250_250 
294,1,626_197 ,257_257 
295,1,625_192 ,271_271 
296,1,625_191 ,265_265 
297,1,628_190 ,264_264 
298,1,628_190 ,264_264 
299,1,616_193 ,271_271 
300,1,629_192 ,261_261 
301,1,620_196 ,251_251 
302,1,628_202 ,251_251 
303,1,621_200 ,247_247 
304,1,628_205 ,248_248 
305,1,631_207 ,245_245 
306,1,629_194 ,257_257 
307,1,621_198 ,250_250 
308,1,625_203 ,242_242 
309,1,638_211 ,228_228 
310,1,631_202 ,240_240 
311,1,623_204 ,233_233 
312,1,611_201 ,249_249 
313,1,606_196 ,257_257 
314,1,619_193 ,244_244 
315,1,612_190 ,251_251 
316,1,610_186 ,253_253 
317,1,599_182 ,264_264 
318,1,598_186 ,257_257 
319,1,596_188 ,257_257 
320,1,590_183 ,268_268 
321,1,585_181 ,262_262 
322,1,582_183 ,261_261 
323,1,576_182 ,255_255 
324,1,582_188 ,246_246 
325,1,580_196 ,236_236 
326,1,576_198 ,234_234 
327,1,575_206 ,229_229 
328,1,570_203 ,230_230 
329,1,565_208 ,228_228 
330,1,559_208 ,227_227 
331,1,554_207 ,232_232 
332,1,556_212 ,227_227 
333,1,553_212 ,226_226 
334,1,548_212 ,230_230 
335,1,548_211 ,225_225 
336,1,546_212 ,228_228 
337,1,544_213 ,222_222 
338,1,545_215 ,221_221 
339,1,541_212 ,224_224 
340,1,537_212 ,228_228 
341,1,537_211 ,227_227 
342,1,536_211 ,228_228 
343,1,536_212 ,226_226 
344,1,535_213 ,226_226 
345,1,535_212 ,226_226 
346,1,534_212 ,227_227 
347,1,534_213 ,225_225 
348,1,534_214 ,224_224 
349,1,533_216 ,226_226 
350,1,532_213 ,228_228 
351,1,534_214 ,224_224 
352,1,535_213 ,226_226 
353,1,532_214 ,227_227 
354,1,533_215 ,225_225 
355,1,532_217 ,227_227 
356,1,530_216 ,228_228 
357,1,530_217 ,224_224 
358,1,529_214 ,230_230 
359,1,528_210 ,224_224 
360,1,527_207 ,228_228 
361,1,525_202 ,226_226 
362,1,524_196 ,229_229 
363,1,522_191 ,228_228 
364,1,522_184 ,226_226 
365,1,522_177 ,229_229 
366,1,519_171 ,228_228 
367,1,518_165 ,226_226 
368,1,517_159 ,229_229 
369,1,514_152 ,230_230 
370,1,515_145 ,226_226 
371,1,513_143 ,225_225 
372,1,513_139 ,223_223 
373,1,513_132 ,223_223 
374,1,507_126 ,231_231 
375,1,506_121 ,225_225 
376,1,503_115 ,229_229 
377,1,503_109 ,225_225 
378,1,499_103 ,227_227 
379,1,497_97 ,226_226 
380,1,493_92 ,228_228 
381,1,491_86 ,227_227 
382,1,489_81 ,225_225 
383,1,484_78 ,230_230 
384,1,481_73 ,229_229 
385,1,476_70 ,232_232 
386,1,479_69 ,226_226 
387,1,477_70 ,226_226 
388,1,472_69 ,228_228 
389,1,470_68 ,229_229 
390,1,469_68 ,228_228 
391,1,466_68 ,229_229 
392,1,468_70 ,225_225 
393,1,467_71 ,228_228 
394,1,464_69 ,231_231 
395,1,469_70 ,227_227 
396,1,466_71 ,232_232 
397,1,474_72 ,231_231 
398,1,478_72 ,227_227 
399,1,483_74 ,228_228 
400,1,486_73 ,229_229 
401,1,493_74 ,224_224 
402,1,500_78 ,223_223 
403,1,502_76 ,229_229 
404,1,505_74 ,231_231 
405,1,515_77 ,223_223 
406,1,520_78 ,228_228 
407,1,527_78 ,226_226 
408,1,533_79 ,227_227 
409,1,540_80 ,225_225 
410,1,546_81 ,228_228 
411,1,555_80 ,227_227 
412,1,573_80 ,223_223 
413,1,588_81 ,222_222 
414,1,601_83 ,223_223 
415,1,613_77 ,227_227 
416,1,623_77 ,233_233 
417,1,632_77 ,238_238 
418,1,642_76 ,239_239 
419,1,652_76 ,239_239 
420,1,665_80 ,236_236 
421,1,676_79 ,239_239 
422,1,687_82 ,236_236 
423,1,698_84 ,241_241 
424,1,711_86 ,237_237 
425,1,719_83 ,243_243 
426,1,728_81 ,241_241 
427,1,731_83 ,247_247 
428,1,743_84 ,249_249 
429,1,751_82 ,251_251 
430,1,755_80 ,257_257 
431,1,767_83 ,255_255 
432,1,776_84 ,253_253 
433,1,781_83 ,252_252 
434,1,783_84 ,253_253 
435,1,787_87 ,250_250 
436,1,790_88 ,251_251 
437,1,792_92 ,252_252 
438,1,791_93 ,257_257 
439,1,791_98 ,258_258 
440,1,789_103 ,260_260 
441,1,787_108 ,252_252 
442,1,781_107 ,257_257 
443,1,776_111 ,261_261 
444,1,774_115 ,256_256 
445,1,770_121 ,253_253 
446,1,762_123 ,253_253 
447,1,759_129 ,251_251 
448,1,754_133 ,254_254 
449,1,750_143 ,246_246 
450,1,747_152 ,243_243 
451,1,741_156 ,241_241 
452,1,734_165 ,236_236 
453,1,729_172 ,236_236 
454,1,721_176 ,239_239 
455,1,716_180 ,241_241 
456,1,708_186 ,240_240 
457,1,702_189 ,247_247 
458,1,698_193 ,250_250 
459,1,693_198 ,249_249 
460,1,690_200 ,250_250 
461,1,687_204 ,249_249 
462,1,687_205 ,250_250 
463,1,685_208 ,248_248 
464,1,681_207 ,253_253 
465,1,682_208 ,251_251 
466,1,680_209 ,250_250 
467,1,678_211 ,249_249 
468,1,674_209 ,253_253 
469,1,673_208 ,251_251 
470,1,668_209 ,252_252 
471,1,665_206 ,254_254 
472,1,665_204 ,250_250 
473,1,662_206 ,246_246 
474,1,655_205 ,251_251 
475,1,649_203 ,247_247 
476,1,640_201 ,253_253 
477,1,631_200 ,251_251 
478,1,622_195 ,252_252 
479,1,616_199 ,244_244 
480,1,605_195 ,252_252 
481,1,592_193 ,255_255 
482,1,589_190 ,251_251 
483,1,579_192 ,243_243 
484,1,570_184 ,248_248 
485,1,555_184 ,252_252 
486,1,549_181 ,251_251 
487,1,537_176 ,249_249 
488,1,526_174 ,261_261 
489,1,513_173 ,257_257 
490,1,503_166 ,263_263 
491,1,492_164 ,260_260 
492,1,478_161 ,255_255 
493,1,465_152 ,264_264 
494,1,448_147 ,275_275 
495,1,435_149 ,279_279 
496,1,425_145 ,275_275 
497,1,413_139 ,282_282 
498,1,400_143 ,276_276 
499,1,393_138 ,270_270 
500,1,384_140 ,275_275 
501,1,373_135 ,279_279 
502,1,365_131 ,286_286 
503,1,363_139 ,277_277 
504,1,357_135 ,281_281 
505,1,353_138 ,281_281 
506,1,354_142 ,277_277 
507,1,355_144 ,274_274 
508,1,350_145 ,276_276 
509,1,353_149 ,269_269 
510,1,360_156 ,265_265 
511,1,360_158 ,259_259 
512,1,363_162 ,258_258 
513,1,365_167 ,255_255 
514,1,368_171 ,249_249 
515,1,369_174 ,250_250 
516,1,372_179 ,246_246 
517,1,374_183 ,245_245 
518,1,377_188 ,243_243 
519,1,384_192 ,236_236 
520,1,387_195 ,238_238 
521,1,387_194 ,242_242 
522,1,395_200 ,233_233 
523,1,397_205 ,234_234 
524,1,401_206 ,235_235 
525,1,405_209 ,234_234 
526,1,409_213 ,232_232 
527,1,413_216 ,230_230 
528,1,413_218 ,229_229 
529,1,416_221 ,227_227 
530,1,416_220 ,232_232 
531,1,423_224 ,225_225 
532,1,425_223 ,227_227 
533,1,426_224 ,225_225 
534,1,428_223 ,225_225 
535,1,431_223 ,222_222 
536,1,435_225 ,216_216 
537,1,437_222 ,215_215 
538,1,433_221 ,216_216 
539,1,436_219 ,217_217 
540,1,432_219 ,223_223 
541,1,433_218 ,223_223 
542,1,429_215 ,228_228 
543,1,429_216 ,226_226 
544,1,428_214 ,226_226 
545,1,427_213 ,224_224 
546,1,424_208 ,230_230 
547,1,422_206 ,225_225 
548,1,421_203 ,227_227 
549,1,421_199 ,225_225 
550,1,420_194 ,225_225 
551,1,418_189 ,223_223 
552,1,419_182 ,224_224 
553,1,414_174 ,232_232 
554,1,409_172 ,232_232 
555,1,411_167 ,228_228 
556,1,407_157 ,232_232 
557,1,412_150 ,229_229 
558,1,414_144 ,227_227 
559,1,412_134 ,232_232 
560,1,420_128 ,227_227 
561,1,419_116 ,232_232 
562,1,425_108 ,229_229 
563,1,427_99 ,232_232 
564,1,434_89 ,234_234 
565,1,439_81 ,238_238 
566,1,447_72 ,236_236 
567,1,454_66 ,236_236 
568,1,464_59 ,237_237 
569,1,477_52 ,233_233 
570,1,484_49 ,239_239 
571,1,498_48 ,236_236 
572,1,511_47 ,238_238 
573,1,525_48 ,237_237 
574,1,536_49 ,238_238 
575,1,559_56 ,230_230 
576,1,562_55 ,239_239 
577,1,583_63 ,232_232 
578,1,598_69 ,232_232 
